,area_type,availability,location,size,total_sqft,bath,balcony,price
7997,Super built-up  Area,Ready To Move,Richmond Town,4 BHK,2380.0,4.0,3.0,242.0
7998,Built-up  Area,Ready To Move,Electronic City,3 BHK,2400.0,2.0,0.0,78.0
7999,Super built-up  Area,18-Aug,Haralur Road,4 BHK,2805.0,4.0,3.0,154.0
8000,Super built-up  Area,18-Jun,Mysore Road,3 BHK,1360.0,3.0,0.0,47.6
8001,Super built-up  Area,Ready To Move,Brookefield,2 BHK,1089.0,2.0,1.0,49.0
8002,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1115.0,2.0,2.0,60.0
8003,Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,1215.0,2.0,1.0,45.0
8004,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1194.0,2.0,1.0,51.0
8005,Super built-up  Area,18-Dec,Kannamangala,3 BHK,1536.0,3.0,1.0,104.0
8006,Super built-up  Area,Ready To Move,Hennur,2 BHK,1255.0,2.0,2.0,55.5
8007,Super built-up  Area,17-Oct,Electronic City,3 BHK,1571.0,3.0,2.0,83.0
8008,Plot  Area,Ready To Move,Virupakshapura,2 Bedroom,900.0,1.0,0.0,70.0
8009,Super built-up  Area,Ready To Move,Keshava Nagar,2 BHK,1517.0,2.0,2.0,125.0
8010,Super built-up  Area,Ready To Move,Budigere,1 BHK,664.0,1.0,1.0,35.4
8011,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1230.0,2.0,1.0,58.0
8012,Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,1340.0,2.0,2.0,72.0
8013,Super built-up  Area,Ready To Move,Attibele,2 BHK,1175.0,2.0,1.0,29.38
8014,Plot  Area,Ready To Move,Benson Town,4 Bedroom,3569.0,4.0,1.0,600.0
8015,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1240.0,2.0,2.0,43.1
8016,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1470.0,2.0,1.0,44.1
8017,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525.0,2.0,0.0,29.25
8018,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,117.0
8019,Super built-up  Area,Ready To Move,Sri Sai Layout,2 BHK,1000.0,2.0,2.0,35.0
8020,Super built-up  Area,Ready To Move,Gunjur,2 BHK,1071.0,2.0,1.0,51.0
8021,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1512.0,3.0,0.0,80.0
8022,Built-up  Area,Ready To Move,Frazer Town,4 BHK,3435.0,2.0,1.0,341.0
8023,Super built-up  Area,19-Dec,Thanisandra main road,3 BHK,3144.0,3.0,1.0,455.0
8024,Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1190.0,2.0,1.0,60.0
8025,Super built-up  Area,21-May,Kanakpura Road,2 BHK,1283.0,2.0,2.0,63.22
8026,Built-up  Area,Ready To Move,Mallasandra,2 BHK,1325.0,2.0,2.0,73.0
8027,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1105.0,2.0,1.0,35.36
8028,Super built-up  Area,Ready To Move,Banaswadi,3 BHK,1600.0,3.0,2.0,74.5
8029,Plot  Area,Ready To Move,Devara Jeevanahalli,4 Bedroom,400.0,2.0,2.0,35.0
8030,Super built-up  Area,18-Apr,Kanakpura Road,2 BHK,800.0,2.0,0.0,41.145
8031,Super built-up  Area,Ready To Move,Hennur,2 BHK,1100.0,2.0,1.0,44.55
8032,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,2099.0,3.0,3.0,147.0
8033,Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1365.0,2.0,1.0,72.0
8034,Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1485.0,3.0,3.0,132.0
8035,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1250.0,2.0,1.0,55.0
8036,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1170.0,2.0,1.0,46.79
8037,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1328.0,2.0,3.0,91.06
8038,Super built-up  Area,19-Mar,Hennur Road,2 BHK,1232.0,2.0,1.0,87.0
8039,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1180.0,2.0,2.0,88.5
8040,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350.0,3.0,2.0,66.0
8041,Super built-up  Area,18-May,Nagawara Junction,4 BHK,3602.0,4.0,0.0,280.0
8042,Super built-up  Area,Ready To Move,Nagasandra,4 BHK,2400.0,4.0,1.0,145.0
8043,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1020.0,2.0,2.0,32.0
8044,Super built-up  Area,Ready To Move,Begur Road,3 BHK,1410.0,2.0,3.0,49.34
8045,Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,2159.0,3.0,2.0,120.0
8046,Plot  Area,Immediate Possession,Anekal,,1453.0,2.0,0.0,16.5
8047,Super built-up  Area,18-Apr,TC Palaya,3 BHK,1200.0,2.0,0.0,66.0
8048,Super built-up  Area,18-Sep,Whitefield,2 BHK,1074.0,2.0,1.0,42.79
8049,Plot  Area,18-Nov,Suragajakkanahalli,3 Bedroom,1200.0,3.0,2.0,72.0
8050,Super built-up  Area,18-Apr,Sarjapur,3 BHK,1170.0,2.0,2.0,35.41
8051,Super built-up  Area,21-Jun,Tumkur Road,1 BHK,728.5,1.0,0.0,31.315
8052,Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,1660.0,2.0,0.0,100.0
8053,Plot  Area,Ready To Move,Gattigere,5 Bedroom,900.0,6.0,1.0,95.0
8054,Built-up  Area,Ready To Move,SK Garden,6 Bedroom,1850.0,3.0,0.0,175.0
8055,Built-up  Area,Ready To Move,Gowdanapalya,1 Bedroom,510.0,1.0,0.0,34.0
8056,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1601.0,3.0,2.0,95.0
8057,Super built-up  Area,18-Mar,Begur Road,2 BHK,952.0,2.0,1.0,42.0
8058,Super built-up  Area,Ready To Move,PNS Layout,2 BHK,1166.0,2.0,3.0,65.0
8059,Built-up  Area,Ready To Move,Venkatapura,3 BHK,2700.0,2.0,1.0,260.0
8060,Built-up  Area,Ready To Move,Electronic City Phase II,4 Bedroom,1900.0,3.0,1.0,97.0
8061,Plot  Area,Ready To Move,Mathikere,3 Bedroom,1350.0,2.0,0.0,175.0
8062,Super built-up  Area,18-Aug,Haralur Road,3 BHK,1520.0,2.0,2.0,96.0
8063,Plot  Area,Ready To Move,Harsha Layout,4 Bedroom,2100.0,6.0,3.0,100.0
8064,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,1175.0,2.0,2.0,50.0
8065,Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,1432.0,2.0,2.0,68.0
8066,Super built-up  Area,18-Jun,Bommasandra Industrial Area,2 BHK,1005.0,2.0,1.0,39.77
8067,Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,1309.0,2.0,1.0,80.0
8068,Super built-up  Area,Ready To Move,Dairy Circle,3 BHK,2251.0,4.0,2.0,370.0
8069,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,1.0,77.0
8070,Plot  Area,Ready To Move,Sanjay nagar,3 Bedroom,2400.0,3.0,3.0,310.0
8071,Super built-up  Area,Ready To Move,Begur Road,3 BHK,1565.0,2.0,2.0,56.34
8072,Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,940.0,2.0,1.0,56.0
8073,Super built-up  Area,18-Jun,Yarandahalli,2 BHK,1015.0,2.0,1.0,40.1
8074,Plot  Area,Ready To Move,BTM 2nd Stage,3 Bedroom,2400.0,2.0,0.0,360.0
8075,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1652.0,3.0,3.0,110.0
8076,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1100.0,2.0,2.0,52.0
8077,Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,2340.0,4.0,1.0,145.0
8078,Super built-up  Area,21-Jul,Koramangala,2 BHK,1084.0,2.0,1.0,179.0
8079,Plot  Area,Ready To Move,Kammanahalli,2 Bedroom,1200.0,1.0,1.0,81.0
8080,Super built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,1400.0,3.0,3.0,69.0
8081,Plot  Area,16-Mar,HBR Layout,4 Bedroom,2400.0,5.0,0.0,320.0
8082,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,27.43
8083,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1267.0,2.0,1.0,90.33
8084,Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,2439.0,4.0,3.0,185.0
8085,Built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1645.0,3.0,0.0,95.0
8086,Built-up  Area,18-Dec,Electronic City,3 BHK,1320.0,2.0,1.0,38.12
8087,Super built-up  Area,18-Apr,Ananth Nagar,2 BHK,1000.0,2.0,1.0,29.7
8088,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,5000.0,5.0,2.0,550.0
8089,Built-up  Area,Ready To Move,KR Puram,6 Bedroom,2500.0,6.0,3.0,58.0
8090,Plot  Area,Ready To Move,Kengeri Satellite Town,2 Bedroom,2480.0,2.0,1.0,160.0
8091,Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1086.0,2.0,2.0,44.5
8092,Super built-up  Area,18-Nov,Kengeri,1 BHK,416.0,1.0,1.0,18.0
8093,Built-up  Area,Ready To Move,Hennur Road,2 BHK,1066.0,2.0,1.0,52.23
8094,Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,1730.0,3.0,1.0,93.0
8095,Super built-up  Area,20-Jan,Balagere,2 BHK,1205.0,2.0,1.0,63.86
8096,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2500.0,5.0,2.0,175.0
8097,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,960.0,2.0,1.0,55.0
8098,Super built-up  Area,18-Jul,Haralur Road,3 BHK,1510.0,3.0,2.0,83.05
8099,Built-up  Area,Ready To Move,Kanaka Nagar,4 Bedroom,1600.0,4.0,2.0,90.0
8100,Built-up  Area,Ready To Move,Old Madras Road,3 Bedroom,2300.0,3.0,2.0,142.0
8101,Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,1000.0,2.0,1.0,63.0
8102,Super built-up  Area,19-Sep,Hormavu,3 BHK,1553.0,2.0,2.0,58.23
8103,Super built-up  Area,Ready To Move,Frazer Town,4 BHK,3436.0,5.0,0.0,345.0
8104,Super built-up  Area,18-Aug,Seegehalli,2 BHK,1134.0,2.0,2.0,45.0
8105,Plot  Area,Ready To Move,Nagasandra,4 Bedroom,600.0,4.0,2.0,80.0
8106,Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,2400.0,3.0,3.0,80.0
8107,Plot  Area,18-Nov,Whitefield,4 Bedroom,2400.0,4.0,1.0,143.0
8108,Super built-up  Area,Ready To Move,Nagashetty Halli,2 BHK,1350.0,2.0,2.0,65.0
8109,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1032.0,2.0,1.0,42.0
8110,Super built-up  Area,Ready To Move,Tigalarpalya,3 BHK,1998.0,3.0,2.0,117.0
8111,Super built-up  Area,18-Aug,Murugeshpalya,2 BHK,1225.0,2.0,2.0,48.0
8112,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1262.0,2.0,2.0,67.0
8113,Super built-up  Area,Ready To Move,Thomas Town,2 BHK,1300.0,2.0,0.0,60.0
8114,Super built-up  Area,18-Jun,Kothannur,2 BHK,1070.0,2.0,2.0,38.6
8115,Built-up  Area,21-Dec,"Electronic city Phase 1, ",2 BHK,950.0,2.0,1.0,33.0
8116,Super built-up  Area,18-Mar,Balagere,2 BHK,1012.0,2.0,1.0,53.58
8117,Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1000.0,2.0,0.0,70.0
8118,Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1394.0,2.0,2.0,56.0
8119,Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,1450.0,2.0,1.0,85.0
8120,Super built-up  Area,Ready To Move, Banaswadi,1 RK,527.0,1.0,0.0,35.0
8121,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1693.0,3.0,2.0,125.0
8122,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1000.0,2.0,1.0,46.0
8123,Built-up  Area,Ready To Move,Kogilu,2 BHK,952.0,2.0,2.0,49.0
8124,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2050.0,4.0,0.0,270.0
8125,Super built-up  Area,Ready To Move,Kengeri,1 BHK,1200.0,1.0,1.0,14.0
8126,Super built-up  Area,19-Apr,Mysore Road,3 BHK,1410.0,2.0,2.0,64.0
8127,Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1400.0,2.0,2.0,108.0
8128,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,3056.0,5.0,0.0,100.0
8129,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1826.0,3.0,2.0,125.0
8130,Super built-up  Area,18-Jun,Hosur Road,3 BHK,1689.0,3.0,2.0,103.0
8131,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,31.0
8132,Super built-up  Area,Ready To Move,Bannerghatta Road,5 BHK,2500.0,4.0,0.0,1400.0
8133,Super built-up  Area,Ready To Move,Hennur,2 BHK,960.0,2.0,1.0,48.0
8134,Built-up  Area,Ready To Move,Channasandra,2 BHK,808.0,2.0,1.0,40.0
8135,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,907.0,2.0,2.0,38.5
8136,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1300.0,2.0,2.0,55.0
8137,Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,1804.0,3.0,2.0,150.0
8138,Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,1350.0,3.0,2.0,81.0
8139,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1836.0,3.0,2.0,125.0
8140,Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,826.0,2.0,2.0,36.0
8141,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200.0,2.0,3.0,68.0
8142,Super built-up  Area,18-Dec,1st Block Koramangala,4 BHK,3000.0,3.0,3.0,300.0
8143,Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,2400.0,4.0,2.0,405.0
8144,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1460.0,2.0,0.0,80.0
8145,Plot  Area,Ready To Move,Hoskote,4 Bedroom,1200.0,4.0,3.0,140.0
8146,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,965.0,2.0,2.0,56.0
8147,Carpet  Area,Ready To Move,Kothannur,4 Bedroom,2000.0,4.0,2.0,95.0
8148,Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1395.0,2.0,2.0,70.0
8149,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1660.0,3.0,2.0,116.0
8150,Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,935.0,2.0,2.0,35.0
8151,Super built-up  Area,Ready To Move,Hongasandra,2 BHK,1180.0,2.0,1.0,39.0
8152,Built-up  Area,18-Dec,Electronic City,2 BHK,1090.0,2.0,1.0,31.48
8153,Super built-up  Area,19-Jan,Kanakpura Road,2 BHK,1204.0,2.0,1.0,82.0
8154,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072.0,4.0,2.0,153.0
8155,Built-up  Area,Ready To Move,Haralur Road,2 BHK,1056.0,2.0,1.0,65.0
8156,Super built-up  Area,18-Dec,Hebbal,2 BHK,985.0,2.0,2.0,62.0
8157,Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,1315.0,2.0,2.0,49.0
8158,Built-up  Area,Ready To Move,KR Puram,2 BHK,734.0,2.0,1.0,22.0
8159,Built-up  Area,Ready To Move,Kammanahalli,4 Bedroom,2900.0,4.0,2.0,200.0
8160,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,2317.0,4.0,3.0,140.0
8161,Built-up  Area,Ready To Move,Singasandra,1 Bedroom,600.0,1.0,0.0,45.0
8162,Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,2200.0,3.0,0.0,115.0
8163,Super built-up  Area,Ready To Move,Attibele,2 BHK,656.0,2.0,1.0,25.0
8164,Built-up  Area,Ready To Move,Attibele,1 BHK,400.0,1.0,1.0,11.5
8165,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,666.0,1.0,1.0,36.8
8166,Plot  Area,Ready To Move,Kadubeesanahalli,4 Bedroom,3293.0,5.0,2.0,425.0
8167,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1174.0,2.0,1.0,47.0
8168,Super built-up  Area,Ready To Move,Budigere,2 BHK,1153.0,2.0,2.0,56.7
8169,Plot  Area,Ready To Move,Jalahalli,4 Bedroom,1000.0,4.0,1.0,90.0
8170,Built-up  Area,Ready To Move,Narayanapura,5 BHK,2400.0,5.0,2.0,85.0
8171,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,957.0,2.0,1.0,47.0
8172,Built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,910.0,2.0,2.0,160.0
8173,Built-up  Area,17-Dec,Sarjapur  Road,2 BHK,1060.0,2.0,1.0,50.0
8174,Super built-up  Area,18-Jul,Banashankari,2 BHK,1000.0,2.0,1.0,50.0
8175,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843.0,3.0,2.0,88.0
8176,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1150.0,2.0,2.0,40.25
8177,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3197.0,5.0,2.0,335.0
8178,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1125.0,2.0,1.0,41.5
8179,Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1516.0,3.0,3.0,65.0
8180,Super built-up  Area,Ready To Move,Brookefield,2 BHK,1130.0,2.0,2.0,56.0
8181,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596.0,5.0,1.0,279.0
8182,Super built-up  Area,19-Jun,Hosa Road,3 BHK,1512.0,3.0,2.0,103.0
8183,Built-up  Area,Ready To Move,Thanisandra,3 BHK,1491.0,3.0,1.0,88.0
8184,Super built-up  Area,Ready To Move,Cox Town,2 BHK,1250.0,2.0,2.0,95.0
8185,Super built-up  Area,18-Aug,Banashankari,3 BHK,1650.0,3.0,2.0,90.75
8186,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,1.0,48.7
8187,Plot  Area,Ready To Move,Behind Don Bosco Church,4 Bedroom,1200.0,4.0,1.0,110.0
8188,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1881.0,3.0,0.0,95.0
8189,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100.0,3.0,2.0,56.57
8190,Super built-up  Area,Ready To Move,Iblur Village,3 BHK,2666.0,4.0,1.0,200.0
8191,Super built-up  Area,Ready To Move,Bagalur,2 BHK,1500.0,2.0,1.0,50.0
8192,Super built-up  Area,18-Dec,Seshadripuram,2 BHK,1217.0,2.0,1.0,164.0
8193,Built-up  Area,Ready To Move,Whitefield,2 BHK,1197.0,2.0,1.0,50.0
8194,Built-up  Area,Ready To Move,BHEL Layout,6 Bedroom,2400.0,4.0,1.0,170.0
8195,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1345.0,3.0,2.0,60.0
8196,Plot  Area,Ready To Move,KR Puram,4 Bedroom,1200.0,4.0,2.0,100.0
8197,Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,3230.0,5.0,0.0,165.0
8198,Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,1260.0,2.0,1.0,95.0
8199,Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,2750.0,5.0,1.0,240.0
8200,Plot  Area,Ready To Move,9th Phase JP Nagar,2 Bedroom,1200.0,2.0,0.0,80.0
8201,Built-up  Area,Ready To Move,Devara Jeevanahalli,3 Bedroom,1650.0,3.0,0.0,52.0
8202,Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,600.0,1.0,0.0,45.0
8203,Super built-up  Area,18-Dec,Sarjapur,4 BHK,2302.5,2.0,0.0,80.59
8204,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,973.0,2.0,1.0,56.0
8205,Super built-up  Area,19-Dec,Thanisandra main road,4 BHK,4110.0,4.0,2.0,590.0
8206,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2533.0,3.0,3.0,425.0
8207,Super built-up  Area,Ready To Move,Balagere,2 BHK,1007.0,2.0,1.0,75.0
8208,Super built-up  Area,19-Mar,Hosa Road,1 BHK,800.0,1.0,0.0,39.99
8209,Built-up  Area,18-Dec,Sarjapur  Road,3 Bedroom,1830.0,3.0,1.0,119.0
8210,Super built-up  Area,Ready To Move,Nagavara,2 BHK,1077.0,2.0,1.0,50.0
8211,Plot  Area,Ready To Move,Immadihalli,1 Bedroom,672.0,1.0,1.0,27.0
8212,Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,1280.0,3.0,0.0,87.0
8213,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,865.0,2.0,0.0,40.0
8214,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1000.0,2.0,2.0,33.0
8215,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1285.0,2.0,2.0,65.0
8216,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,662.0,1.0,1.0,29.0
8217,Plot  Area,Ready To Move,Whitefield,5 Bedroom,2297.0,5.0,2.0,269.0
8218,Plot  Area,Ready To Move,Sarjapura - Attibele Road,5 Bedroom,3750.0,6.0,3.0,295.0
8219,Super built-up  Area,Ready To Move,Kalkere,3 BHK,1850.0,3.0,3.0,95.0
8220,Super built-up  Area,Ready To Move,Harlur,3 BHK,1754.0,3.0,2.0,132.0
8221,Plot  Area,Ready To Move,Hennur Bande,5 Bedroom,1200.0,4.0,2.0,150.0
8222,Plot  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,2200.0,7.0,2.0,350.0
8223,Super built-up  Area,Ready To Move,Anugrah Layout,3 BHK,1567.0,3.0,1.0,100.0
8224,Super built-up  Area,Ready To Move,Hoskote,3 BHK,1695.0,3.0,3.0,50.0
8225,Plot  Area,Ready To Move,Hosahalli Extension,2 Bedroom,360.0,2.0,1.0,40.0
8226,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1150.0,2.0,1.0,69.44
8227,Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,2350.0,3.0,2.0,210.0
8228,Super built-up  Area,Ready To Move,Karuna Nagar,2 BHK,1057.0,2.0,1.0,65.0
8229,Super built-up  Area,19-Dec,Hebbal,2 BHK,1320.0,2.0,1.0,91.0
8230,Super built-up  Area,Ready To Move,Bandepalya,2 BHK,1125.0,2.0,1.0,48.0
8231,Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,2254.0,3.0,2.0,170.0
8232,Super built-up  Area,20-Jan,Balagere,1 BHK,645.0,1.0,1.0,34.18
8233,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050.0,2.0,2.0,52.08
8234,Super built-up  Area,18-May,Panathur,2 BHK,1040.0,2.0,1.0,41.6
8235,Super built-up  Area,18-Jun,Sarjapur  Road,3 BHK,1700.0,3.0,1.0,194.0
8236,Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1760.0,3.0,0.0,115.0
8237,Super built-up  Area,19-Mar,Bellandur,3 BHK,1138.0,3.0,2.0,128.0
8238,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,984.0,2.0,1.0,45.91
8239,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,2.0,38.65
8240,Super built-up  Area,19-Dec,Whitefield,3 BHK,3596.0,3.0,1.0,200.0
8241,Super built-up  Area,Ready To Move,Kalkere,3 BHK,1365.0,3.0,2.0,54.0
8242,Super built-up  Area,Ready To Move,Bethel Nagar,1 BHK,560.0,1.0,0.0,19.0
8243,Super built-up  Area,Ready To Move,Bellandur,4 BHK,1540.0,4.0,3.0,45.0
8244,Built-up  Area,Ready To Move,Electronic City,3 BHK,1050.0,2.0,1.0,39.0
8245,Plot  Area,Ready To Move,Lingarajapuram,4 Bedroom,360.0,4.0,3.0,37.0
8246,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1550.0,3.0,3.0,72.5
8247,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1653.0,3.0,3.0,93.0
8248,Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,1471.0,2.0,3.0,75.0
8249,Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,812.0,2.0,1.0,38.25
8250,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1504.0,2.0,2.0,83.0
8251,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1450.0,3.0,2.0,75.0
8252,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957.0,2.0,2.0,54.5
8253,Carpet  Area,Ready To Move,Attibele,1 BHK,460.0,1.0,1.0,13.0
8254,Plot  Area,Ready To Move,poornaprajna layout,2 Bedroom,900.0,2.0,0.0,128.0
8255,Super built-up  Area,Ready To Move,Budigere,3 BHK,1820.0,3.0,2.0,85.0
8256,Super built-up  Area,19-Dec,Varthur Road,2 BHK,1033.0,2.0,2.0,32.0
8257,Plot  Area,Ready To Move,Kumaraswami Layout,2 Bedroom,800.0,1.0,1.0,90.0
8258,Plot  Area,Ready To Move,Kadabagere,1 Bedroom,520.0,2.0,0.0,29.0
8259,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1165.0,2.0,2.0,88.5
8260,Super built-up  Area,Ready To Move,Gottigere,2 BHK,1280.0,2.0,1.0,61.0
8261,Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,1950.0,3.0,3.0,230.0
8262,Plot  Area,Ready To Move,BTM 4th Stage,1 Bedroom,600.0,1.0,0.0,58.0
8263,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550.0,3.0,3.0,65.1
8264,Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,1392.0,2.0,1.0,130.0
8265,Super built-up  Area,Ready To Move,Jigani,3 BHK,1221.0,3.0,3.0,75.0
8266,Super built-up  Area,Ready To Move,AMS Layout,1 BHK,1000.0,1.0,1.0,19.0
8267,Built-up  Area,Ready To Move,KR Garden,2 BHK,1300.0,2.0,2.0,60.0
8268,Built-up  Area,Ready To Move,Hoskote,2 BHK,1065.0,2.0,3.0,31.5
8269,Built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1209.0,2.0,3.0,65.0
8270,Plot  Area,Ready To Move,BTM 1st Stage,1 Bedroom,375.0,1.0,0.0,40.0
8271,Plot  Area,Ready To Move,Dollars Colony,3 Bedroom,7800.0,3.0,2.0,2000.0
8272,Super built-up  Area,19-Mar,Sarjapur  Road,3 BHK,1929.0,4.0,1.0,101.0
8273,Built-up  Area,Ready To Move,Hennur Road,2 BHK,1255.0,2.0,1.0,84.0
8274,Super built-up  Area,19-Dec,Jalahalli,2 BHK,1035.0,2.0,1.0,31.05
8275,Plot  Area,Ready To Move,Annapurneshwari Nagar,4 Bedroom,1200.0,5.0,2.0,270.0
8276,Super built-up  Area,18-May,Banashankari,3 BHK,1650.0,3.0,2.0,101.0
8277,Built-up  Area,Ready To Move,Whitefield,3 BHK,1275.0,2.0,3.0,65.0
